book_id,author_id,publisher_id,title,publication_date,isbn,pages,genre,description,price,quantity
1a0f2b1d-0c59-4b3a-98cd-4d1d6a631e01,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,Echoes of the Past,2001-03-15,9780007103072,324,Historical Fiction,A gripping journey through a war-torn era that changed lives forever.,12.99,8
2b7f3e3e-51c4-4e6a-8eeb-56e1b3ac384c,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,Beneath Crimson Skies,2018-11-02,9781501173219,410,Romance,Love and sacrifice set against a backdrop of political unrest.,18.49,12
e1271df4-b6e1-4cd6-92d1-2b426325d60a,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,Digital Horizon,2020-08-22,9781982148034,276,Science Fiction,A futuristic saga exploring AI and humanity’s fate.,14.99,7
90e6d401-29b1-457e-850d-6040e5d02ad5,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,The Forgotten Garden,2006-05-05,9781400078776,365,Mystery,An unsolved mystery hidden within generations of family secrets.,13.25,9
6e3eb5e9-f5cf-4c10-b2d6-c75557ecdcf0,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,Ashes and Embers,2015-09-14,9780062409850,298,Drama,A family torn by tragedy tries to rebuild its shattered dreams.,11.75,6
1f9473c4-0c8d-47e9-9c95-6fa6e2399f43,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,Stormbound,2019-07-30,9780345806789,349,Adventure,"High seas, fierce storms, and a crew determined to survive.",16.20,10
c8b41910-b7e1-497f-8893-12d1b03ed206,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,The Alchemist's Code,2003-02-28,9780671027032,312,Fantasy,"Magic, betrayal, and a mysterious code in a world of alchemists.",13.40,5
375bf59b-e3d6-47e7-861e-bb360dcb42f3,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,Shadowlight,2012-06-11,9780385504201,255,Thriller,A covert mission unveils dark secrets in an intelligence agency.,17.85,4
8b4eb124-2e3c-42ec-846e-31b1e62d4fd2,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,The Marble Tower,2000-12-01,9780143127741,430,Fantasy,A quest to reclaim a lost kingdom from the depths of myth.,15.00,6
d3948ea9-7936-4d71-b7d5-b430eddd2d1c,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,Windswept Dunes,2011-10-23,9780374533557,387,Drama,The silent tales of desert travelers and their untold dreams.,14.30,7
a321e7f4-389e-4c95-8542-c1030ad327f0,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,Whispers in the Fog,2017-04-07,9781451695199,344,Mystery,A detective races against time to uncover the truth hidden in the mist.,13.95,6
ccd2b54f-7053-4b9d-8e1d-92857b17b2dc,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,A Winter’s Promise,2014-12-12,9780147512277,302,Romance,A tender love story set in the heart of a snowy countryside.,11.50,10
ae78e1bb-64b9-4a97-80ce-6d83a3cb6e3c,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,Code of Echoes,2021-03-10,9780593230251,289,Science Fiction,A hacker discovers a government secret that changes everything.,16.80,4
6b623f7c-1b0f-4af8-b5d2-ccdc75541f6e,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,Roots of Memory,2009-07-25,9780307465351,321,Drama,A story of finding one’s identity through forgotten family roots.,13.20,9
d2abf5c7-3ab8-4a20-b55e-5a37e1e657d3,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,The Celestial Chamber,2013-05-30,9780765379285,359,Fantasy,A young mage must unlock the secrets of a sacred realm.,17.10,5
d6483b20-214f-497f-928b-813be42ea6e0,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,Last Light of Dusk,2016-09-19,9780316202971,278,Thriller,A runaway’s disappearance pulls a small town into chaos.,15.25,6
f38edbb8-80a7-45fa-b10e-85f177ef482e,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,River of Ashes,2007-11-03,9780312559987,394,Historical Fiction,A nation’s fall seen through the eyes of one haunted soldier.,12.80,8
58f3ab27-3109-4be1-b22c-e4f34c408c76,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,A Song for the Silence,2022-01-14,9781984820716,267,Romance,Two hearts find harmony in the quiet moments of life.,14.00,10
83d15613-e7f4-42d6-a0ff-d6f4f9620139,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,Mirror of the Mind,2010-08-09,9780062312525,338,Psychological Fiction,A psychological journey through memory and self-deception.,15.60,7
ac6224bb-6791-4267-9d51-6d129f9a8fc8,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,Emerald Veins,2018-06-05,9780525536291,345,Adventure,A perilous journey through the depths of a jungle rich with secrets.,13.90,5
9e9c3519-3f2a-4963-bdc7-9b31a0cbeb65,bc5c46a0-a364-48b0-9ccc-ac9f083ef12f,68f7f6ba-e044-44a9-95f2-5390a93bbf5f,The Time Collector,2015-10-18,9781501193866,309,Fantasy,An artifact reveals the secrets of time and those who shape it.,16.45,6
